,country,cases
1177,Cuba,0
1176,Croatia,0
1175,Cote d'Ivoire,0
1174,Costa Rica,0
1173,Congo (Kinshasa),0
1172,Congo (Brazzaville),0
1178,Cyprus,0
1170,Colombia,0
1169,China,104
1168,China,16
1167,China,4
1166,China,0
1165,China,14
1171,Comoros,0
1532,Mongolia,0
1531,Monaco,0
1530,Moldova,0
1529,Mexico,0
1528,Mauritius,0
1525,Malta,0
1526,Marshall Islands,0
1524,Mali,0
1523,Maldives,0
1522,Malaysia,4
1521,Malawi,0
1533,Montenegro,0
1527,Mauritania,0
1534,Morocco,0
1542,Netherlands,0
1536,Namibia,0
1537,Nepal,1
1538,Netherlands,0
1539,Netherlands,0
1540,Netherlands,0
1541,Netherlands,0
1543,New Zealand,0
1544,Nicaragua,0
1545,Niger,0
1546,Nigeria,0
1547,North Macedonia,0
1548,Norway,0
1549,Oman,0
1550,Pakistan,0
1535,Mozambique,0
1520,Madagascar,0
1487,Guinea-Bissau,0
1518,Luxembourg,0
1551,Panama,0
1488,Guyana,0
1489,Haiti,0
1490,Holy See,0
1491,Honduras,0
1492,Hungary,0
1493,Iceland,0
1494,India,0
1495,Indonesia,0
1496,Iran,0
1497,Iraq,0
1498,Ireland,0
1499,Israel,0
1500,Italy,0
1501,Jamaica,0
1502,Japan,4
1503,Jordan,0
1517,Lithuania,0
1516,Liechtenstein,0
1515,Libya,0
1514,Liberia,0
1513,Lesotho,0
1512,Lebanon,0
1519,MS Zaandam,0
1511,Latvia,0
1509,Kyrgyzstan,0
1508,Kuwait,0
1507,Kosovo,0
1506,"Korea, South",4
1505,Kenya,0
1504,Kazakhstan,0
1510,Laos,0
1552,Papua New Guinea,0
1586,Taiwan,5
1554,Peru,0
1591,Togo,0
1592,Trinidad and Tobago,0
1593,Tunisia,0
1594,Turkey,0
1595,US,5
1596,Uganda,0
1597,Ukraine,0
1598,United Arab Emirates,0
1599,United Kingdom,0
1600,United Kingdom,0
1601,United Kingdom,0
1602,United Kingdom,0
1603,United Kingdom,0
1604,United Kingdom,0
1590,Timor-Leste,0
1605,United Kingdom,0
1607,United Kingdom,0
1608,United Kingdom,0
1609,United Kingdom,0
1610,Uruguay,0
1611,Uzbekistan,0
1612,Vanuatu,0
1613,Venezuela,0
1614,Vietnam,2
1615,West Bank and Gaza,0
1616,Western Sahara,0
1617,Yemen,0
1618,Zambia,0
1619,Zimbabwe,0
1486,Guinea,0
1606,United Kingdom,0
1589,Thailand,8
1588,Tanzania,0
1587,Tajikistan,0
1555,Philippines,0
1556,Poland,0
1557,Portugal,0
1558,Qatar,0
1559,Romania,0
1560,Russia,0
1561,Rwanda,0
1562,Saint Kitts and Nevis,0
1563,Saint Lucia,0
